øko,besid,slagtid,spacetime,y,mlik,waic,dic,dic_sat,envvar_mean,envvar_quant0.025,envvar_quant0.975,Intercept_mean,Intercept_quant0.025,Intercept_quant0.975,øko_mean,øko_quant0.025,øko_quant0.975,besid_mean,besid_quant0.025,besid_quant0.975,slagteriid_mean,slagteriid_quant0.025,slagteriid_quant0.975
true,true,true,space,def_winter,-11896.9077229524,22935.2452656385,22495.418375953,17340.6616259438,-0.047074985381723,-0.117780441865228,0.0236298438702717,-3.97620756708356,-4.9952475326434,-3.16496340568012,0.419901005521892,0.161702621689299,0.678259270078363,2.8489507871623,2.57096596883164,3.15147940479987,0.363820498441411,0.151555154334808,0.775705315952224
true,true,true,space,ppt_autumn_lag1,-11897.1746501987,22936.5327188475,22495.6704361712,17340.9136841682,0.0258089667769608,-0.0106802163704261,0.0622968657943879,-3.96095859617089,-4.9619914072553,-3.16418583366088,0.415689570302282,0.15742562540888,0.67410832575445,2.847685083065,2.56973730146974,3.1499204796148,0.36158699257016,0.150436085883825,0.760584888444734
true,true,true,space,soil_spring_lag1,-11897.3201416526,22936.8584804749,22495.6408852715,17340.8841346456,0.0256059917625085,-0.0303513287395509,0.0815752438164989,-3.98456877160643,-5.0204192199906,-3.15883260146611,0.422099001523199,0.16386229268495,0.680497124539905,2.84799575294368,2.56991880971397,3.15016327014859,0.357469688995683,0.156935244112429,0.731177279156652
true,true,true,space,ppt_summer,-11898.1431915355,22937.6478992195,22496.5606070433,17341.8038568894,-0.00684843331374372,-0.0374828753220532,0.0237859564832016,-3.98552392343446,-5.02135361495543,-3.16021063040734,0.419152768932588,0.160879758558059,0.677584820877633,2.84828288943059,2.56739104397672,3.14729210104049,0.363123527423312,0.151273396538236,0.774441508024444
true,true,true,space,ppt_winter,-11898.0369583043,22937.8746545366,22497.0603571664,17342.3036072537,0.00235584949820037,-0.0356149866358449,0.0403249716084932,-3.97520007153077,-4.99347029622532,-3.16407159522296,0.419454087764042,0.161214523314919,0.677853325970099,2.84762138242928,2.56746035114115,3.1472320281047,0.363628687800437,0.150286883828743,0.772927932737111
false,true,true,space,def_summer,-11895.1145342198,22938.1132378428,22498.1729562481,17343.41620757,-0.0351017733778113,-0.0656745748064918,-0.00452926406200003,-3.94059942154947,-4.94730064394031,-3.13632352231414,,,,2.85868691568613,2.57932592856974,3.16084087583989,0.365379986892324,0.150834494369824,0.78063496793416
false,true,true,space,def_autumn_lag1,-11894.4175116395,22939.0391560329,22497.2707299553,17342.5139781644,-0.0429659446175482,-0.0765546686229124,-0.00937660026150457,-3.94506841378249,-4.95500629120464,-3.13947562396927,,,,2.8581636646465,2.57927767157015,3.16078549487858,0.361221030569742,0.150704019998255,0.770076172684541
false,true,true,space,def_spring_lag1,-11894.8006515292,22939.2063529749,22497.5371849672,17342.7804324774,-0.0376968394910696,-0.0686724627674651,-0.00672110879264465,-3.93996802248001,-4.94688675861123,-3.1355149981566,,,,2.85870060216253,2.58189739692357,3.16420395728361,0.360491325851846,0.150494013901397,0.762547168883508
false,true,true,space,1,-11889.9378925353,22939.9458022642,22500.6496131219,17345.892863218,,,,-3.95377271988212,-4.97795499646353,-3.13714925248129,,,,2.85925217184116,2.58033930096742,3.16202670490201,0.363425452459995,0.151105238157334,0.777673155218181
false,true,true,space,def_winter,-11896.2143910886,22940.9814016979,22501.1727443288,17346.4159944339,-0.0467244660935984,-0.117446362215968,0.023996826731178,-3.95491168191192,-4.97872457368153,-3.13785462238324,,,,2.86031791941825,2.58090276944326,3.16274999178925,0.362469165306374,0.151373096558505,0.772025252678083
false,true,false,spacetime,soil_summer_lag1,-11828.6770076291,22941.1942543908,22395.5732555825,17240.8058928128,0.241155328869136,0.16437077608972,0.31789078053747,-4.05460441469209,-4.33546391335824,-3.79792015550346,,,,3.2176900709023,2.90179958745949,3.55841688368504,,,
false,true,true,space,ppt_autumn_lag1,-11896.3608659737,22942.1528252265,22501.2411734846,17346.4844215148,0.0269379122030764,-0.00954967094116466,0.0634242239391256,-3.94186574644746,-4.95106341452613,-3.13647830133445,,,,2.85886541089403,2.57834536013048,3.15964704841806,0.362206353047303,0.149886015441772,0.774204252403047
false,true,true,space,soil_spring_lag1,-11896.6140165867,22942.66393906,22501.3787355181,17346.6219849362,0.0235417282345452,-0.032402018660124,0.0794971661332437,-3.96107058169161,-4.99753767724923,-3.13129365539616,,,,2.85905105532801,2.57736315495505,3.15853283645675,0.361873058384316,0.144695270897666,0.761457476084717
false,true,true,space,ppt_summer,-11897.4414269378,22943.2643075781,22502.3691588015,17347.6124087303,-0.00703712063202214,-0.0376677477795892,0.0235934109692749,-3.95641908903871,-4.98278366722093,-3.1378636223838,,,,2.85945900683021,2.58043044894998,3.1621723540446,0.364360730104504,0.14931411932121,0.784877678850708
false,true,true,space,ppt_winter,-11897.3865963543,22943.2706582026,22502.4653740317,17347.708624157,0.00205365785935954,-0.0359108158694989,0.0400165276042758,-3.9564861075436,-4.98482153591016,-3.13562025882066,,,,2.85966099201758,2.57967968908349,3.16125569138102,0.352083124231402,0.154308893971555,0.713695344130746
true,true,false,spacetime,soil_autumn_lag1,-11824.231980643,22982.1487499353,22445.1816100513,17290.4142588433,0.251222724322957,0.184734343550155,0.318028846288959,-4.06936093318366,-4.33984565445257,-3.82108512365738,0.337356504006077,0.0552236132004831,0.619830306844396,3.21657404459351,2.89993740594932,3.55675146087271,,,
false,true,false,spacetime,soil_autumn_lag1,-11821.3748566056,22996.822805189,22460.7706589553,17306.0032904098,0.25158385685182,0.185412325272359,0.318079670482796,-4.04327201122007,-4.31072772166613,-3.79767540134051,,,,3.21497042351746,2.89832708381356,3.55382801650461,,,
true,true,false,time,tavg_spring_lag1,-12145.6361930757,23060.9104690393,22615.7744029127,17461.0728429301,-0.439469451461207,-0.614451680043104,-0.268471313925443,-3.52174918043847,-3.85266863201336,-3.19877910647248,0.427872536257085,0.167891752879864,0.688434951020908,3.56366823445122,3.22519586933702,3.92610980063673,,,
false,true,false,time,tavg_spring_lag1,-12145.1213429569,23071.7360632786,22627.7917691926,17473.0902088091,-0.435718121654385,-0.61022355527253,-0.264933955463246,-3.48800907931878,-3.81700637107825,-3.16674313736119,,,,3.54989552689998,3.21429812959535,3.91122211680083,,,
